
Session Start: Mon Sep 03 00:23:28 2012
Session Ident: Mirage69
[00:23] Session Ident: Mirage69 (mibbit@141bd0a1.3f9d3b60.1c6ad229.164642aeX)
[00:23] <Mirage69> !shop buy stats str 
[00:23] <Mirage69> !shop buy stats str 
[00:23] <Mirage69> !shop buy stats str 
[00:23] <Mirage69> !shop buy stats str 
[00:23] <Mirage69> !shop buy stats str 
[00:23] <Mirage69> !shop buy stats str 
[00:23] <Mirage69> !shop buy stats str 
[00:23] <Mirage69> !shop buy stats str 
[00:24] <Mirage69> !shop buy stats str 
[00:24] <Mirage69> !shop buy stats str 
[00:24] <Mirage69> !shop buy stats str 
[00:24] <Mirage69> !shop buy stats str 
[00:24] <Mirage69> !shop buy stats str 
[00:24] <Mirage69> !shop buy stats str 
[00:24] <Mirage69> !shop buy stats str 
[00:25] <Mirage69> !shop buy stats str 
[00:25] <Mirage69> !shop buy stats str 
[00:25] <Mirage69> !shop buy stats str 
[00:25] <Mirage69> !shop buy stats str 
[00:25] <Mirage69> !shop buy stats str 
[00:25] <Mirage69> !shop buy stats str 
[00:25] <Mirage69> !shop buy stats str 
[00:25] <Mirage69> !shop buy stats str 
[00:25] <Mirage69> !shop buy stats str 
[00:25] <Mirage69> !shop buy stats str 
[00:26] <Mirage69> !shop buy stats str 
[00:26] <Mirage69> !shop buy stats str 
[00:26] <Mirage69> !shop buy stats str 
[00:26] <Mirage69> !shop buy stats str 
[00:26] <Mirage69> !shop buy stats str 
[00:26] <Mirage69> !shop buy stats str 
[00:26] <Mirage69> !shop buy stats str 
[00:26] <Mirage69> !shop buy stats str 
[00:27] <Mirage69> !shop buy stats str 
[00:27] <Mirage69> !shop buy stats str 
[00:27] <Mirage69> !shop buy stats str 
[00:28] <Mirage69> !shop buy stats str 
[00:28] <Mirage69> !shop buy stats str 
[00:28] <Mirage69> !shop buy stats str 
[00:28] <Mirage69> !shop buy stats str 
[00:28] <Mirage69> !shop buy stats str 
[00:28] <Mirage69> !shop buy stats str 
[00:28] <Mirage69> !shop buy stats str 
[00:28] <Mirage69> !shop buy stats str 
[00:31] <Mirage69> !shop buy stats str 
[00:31] <Mirage69> !shop buy stats str 
[00:31] <Mirage69> !shop buy stats str 
[00:31] <Mirage69> !shop buy stats str 
[00:31] <Mirage69> !shop buy stats str 
[00:31] <Mirage69> !shop buy stats str 
[00:31] <Mirage69> !shop buy stats str 
[00:33] <Mirage69> !shop buy stats str 
[00:33] <Mirage69> !shop buy stats str 
[00:33] <Mirage69> !shop buy stats str 
[00:33] <Mirage69> !shop buy stats str 
[00:34] <Mirage69> !shop buy stats str 
[00:34] <Mirage69> !shop buy stats str 
[00:34] <Mirage69> !shop buy stats str 
[00:34] <Mirage69> !shop buy stats str 
[00:36] <Mirage69> !shop buy stats str 
[00:36] <Mirage69> !shop buy stats str 
[00:36] <Mirage69> !shop buy stats str 
[00:36] <Mirage69> !shop buy stats str 
[00:36] <Mirage69> !shop buy stats str 
[00:36] <Mirage69> !shop buy stats str 
[00:36] <Mirage69> !shop buy stats str 
[00:39] <Mirage69> !shop buy stats str 
[00:39] <Mirage69> !shop buy stats str 
[00:39] <Mirage69> !shop buy stats str 
[00:39] <Mirage69> !shop buy stats str 
[00:39] <Mirage69> !shop buy stats spd
[00:39] <Mirage69> !shop buy stats spd
[00:40] <Mirage69> !shop buy stats spd
[00:40] <Mirage69> !shop buy stats spd
[00:40] <Mirage69> !shop buy stats spd
[00:40] <Mirage69> !shop buy stats spd
[00:40] <Mirage69> !shop buy stats spd
[00:40] <Mirage69> !shop buy stats spd
[00:40] <Mirage69> !shop buy stats spd
[00:40] <Mirage69> !shop buy stats spd
[00:40] <Mirage69> !shop buy stats spd
[00:40] <Mirage69> !shop buy stats spd
[00:41] <Mirage69> !shop buy stats spd
[00:41] <Mirage69> !shop buy stats spd
[00:41] <Mirage69> !shop buy stats spd
[00:41] <Mirage69> !shop buy stats spd
[00:41] <Mirage69> !shop buy stats str
[00:41] <Mirage69> !shop buy stats str
[00:41] <Mirage69> !shop buy stats str
[00:42] <Mirage69> !shop buy stats str
[00:42] <Mirage69> !shop buy stats str
[00:42] <Mirage69> !shop buy stats str
[00:42] <Mirage69> !shop buy stats str
[00:42] <Mirage69> !shop buy stats str
[00:42] <Mirage69> !shop buy stats spd
[00:43] <Mirage69> !shop buy stats spd
[00:43] <Mirage69> !shop buy stats spd
[00:43] <Mirage69> !shop buy stats spd
[00:46] <Wolfbane> Your style has permanantly increased by 25!
[00:51] <Mirage69> !shop buy spd
[00:51] <Mirage69> !shop buy stats spd
[00:51] <Mirage69> !shop buy stats spd
[00:51] <Wolfbane> Your style has permanantly increased by 25!
[00:54] <Mirage69> !shop buy stats spd
[00:54] <Mirage69> !shop buy stats spd
[00:54] <Mirage69> !shop buy stats spd
[00:54] <Mirage69> !shop buy stats spd
[00:54] <Mirage69> !shop buy stats spd
[00:54] <Mirage69> !shop buy stats spd
[00:55] <Mirage69> !shop buy stats spd
[00:55] <Mirage69> !shop buy stats spd
[00:55] <Mirage69> !shop buy stats spd
[00:55] <Mirage69> !shop buy stats spd
